Gender,Age,ReligionFaith,RCI1,RCI2,RCI3,RCI4,RCI5,RCI6,RCI7,RCI8,RCI9,RCI10,HFS1,HFS2,HFS3,HFS4,HFS5,HFS6,HFS7,HFS8,HFS9,HFS10,HFS11,HFS12,HFS13,HFS14,HFS15,HFS16,HFS17,HFS18,DV1,DV2,DV3,PT1,PT2,PT3,HFS2r,HFS4r,HFS6r,HFS7r,HFS9r,HFS11r,HFS13r,HFS15r,HFS17r,TotalRCI,TotalDV,TotalPT,TotalHFS,TotalHFSSelf
0,39,Jewish,4,5,4,3,5,4,4,4,3,3,2,6,1,5,2,7,3,6,3,5,4,5,3,6,3,5,2,5,4,2,4,7,5,6,2,3,1,5,5,4,5,5,6,39,10,18,73,11
1,65,Other Spiritual,1,1,3,4,4,4,4,4,3,1,5,3,5,5,5,5,1,6,1,6,2,7,4,7,2,7,1,7,4,4,4,7,5,4,5,3,3,7,7,6,4,6,7,29,12,16,103,26
1,41,Christian,2,2,3,3,4,2,4,3,3,1,5,2,5,2,4,2,2,4,2,1,5,6,2,6,2,6,2,6,4,3,4,3,5,5,6,6,6,6,6,3,6,6,6,27,11,13,94,32
1,35,Christian,1,1,2,3,3,3,3,3,2,1,5,4,5,5,4,6,5,6,6,2,6,6,2,4,4,5,2,6,3,2,2,5,5,3,4,3,2,3,2,2,6,4,6,22,7,13,75,23
1,27,Christian,4,2,5,5,4,4,4,5,4,5,2,6,3,6,2,6,3,6,2,5,6,5,6,7,3,5,4,3,3,2,4,7,5,4,2,2,2,5,6,2,2,5,4,42,9,16,68,13
0,49,Christian,3,4,4,5,4,5,4,5,4,4,2,6,1,7,2,6,3,6,2,5,3,7,4,3,5,3,4,4,3,2,3,6,7,6,2,1,2,5,6,5,4,3,4,42,8,19,65,10
0,56,Other Spiritual,1,1,2,3,1,1,1,2,1,1,7,1,5,1,7,1,3,5,3,4,3,5,5,3,5,4,6,5,4,4,3,4,4,3,7,7,7,5,5,5,3,3,2,14,11,11,89,40
0,56,Other Spiritual,1,1,2,3,1,1,1,2,1,1,7,1,5,1,7,1,3,5,3,4,3,5,5,3,5,4,6,5,4,4,3,4,4,3,7,7,7,5,5,5,3,3,2,14,11,11,89,40
1,45,Other Spiritual,4,4,3,5,5,3,4,4,3,3,6,2,6,1,7,2,5,3,5,3,6,3,5,4,3,5,4,5,3,2,3,6,6,6,6,7,6,3,3,2,3,5,4,38,8,18,81,38
1,45,Other Spiritual,4,4,3,5,5,3,4,4,3,3,6,2,6,1,7,2,5,3,5,3,6,3,5,4,3,5,4,5,3,2,3,6,6,6,6,7,6,3,3,2,3,5,4,38,8,18,81,38
1,45,Other Spiritual,4,4,3,5,5,3,4,4,3,3,6,2,6,1,7,2,5,3,5,3,6,3,5,4,3,5,4,5,3,2,3,6,6,6,6,7,6,3,3,2,3,5,4,38,8,18,81,38
1,20,Christian,1,1,1,5,4,1,1,5,1,1,3,7,5,7,2,7,3,5,3,6,5,6,7,1,7,6,1,5,2,3,3,6,4,4,1,1,1,5,5,3,1,1,7,21,8,14,64,13
1,28,Christian,3,1,3,3,3,1,1,1,1,2,6,7,6,4,5,7,6,6,7,2,6,3,7,5,6,5,6,6,2,2,2,6,6,6,1,4,1,2,1,2,1,2,2,19,6,18,60,23
1,42,Christian,5,5,5,5,5,4,5,5,4,4,5,4,6,3,6,2,3,5,3,3,4,5,3,6,3,6,2,6,4,3,4,6,5,5,4,5,6,5,5,4,5,5,6,47,11,16,93,32
0,49,Other Spiritual,4,3,5,5,5,4,4,5,4,4,2,7,1,6,2,7,3,6,4,4,2,7,6,4,4,5,7,5,4,2,3,6,6,7,1,2,1,5,4,6,2,4,1,43,9,19,62,9
0,40,Hindu,2,2,3,4,5,3,3,5,2,2,5,1,5,2,4,1,1,2,1,5,1,5,2,5,2,5,2,7,4,2,3,4,2,2,7,6,7,7,7,7,6,6,6,31,9,8,102,34
1,41,Hindu,2,3,4,4,3,2,2,3,2,2,5,4,4,3,6,5,4,4,3,4,2,2,3,4,2,3,4,5,4,3,4,6,6,5,4,5,3,4,5,6,5,6,4,27,11,17,79,27
1,21,Islamic,3,2,4,5,3,1,1,4,2,1,7,4,7,2,6,2,1,5,2,6,2,7,5,6,4,5,3,7,4,3,3,6,6,4,4,6,6,7,6,6,3,4,5,26,10,16,103,36
0,32,Christian,3,2,2,4,4,3,3,3,3,4,5,6,5,4,6,6,5,5,6,5,5,6,6,5,5,5,5,5,4,4,3,6,6,6,2,4,2,3,2,3,2,3,3,31,11,18,71,24
0,71,Christian,5,3,5,5,5,4,5,5,4,3,2,6,1,6,2,7,3,5,3,6,2,5,5,5,2,3,5,5,4,2,4,6,7,6,2,2,1,5,5,6,3,6,3,44,10,19,67,10
