stress,anxiety,depression,rosenberg,self_kindness,common_humanity,mindfulness,self_judgment,isolation,over_identification,scs_ts
11,7,11,32,8,6,14,14,13,13,66
7,2,2,33,19,10,17,18,5,7,94
11,2,6,36,20,13,14,13,15,11,86
6,5,4,29,16,13,15,16,12,10,84
4,4,1,33,20,17,16,10,4,7,110
4,1,2,32,25,20,17,8,6,9,117
3,0,0,38,20,16,15,14,4,10,101
14,13,8,26,11,10,11,13,11,11,75
15,13,11,33,22,14,16,17,15,17,81
2,0,1,34,24,19,18,13,9,11,106
16,12,14,19,8,10,6,22,18,20,42
10,3,6,30,11,13,14,17,16,14,69
0,0,0,31,15,13,10,12,11,11,82
7,3,6,29,20,14,14,10,12,10,94
7,10,8,30,17,16,16,12,10,14,91
9,12,7,21,11,11,9,21,15,17,56
1,0,2,37,19,15,15,8,10,5,104
4,2,3,35,20,15,17,14,9,7,100
12,11,11,20,9,11,8,20,15,17,54
10,2,8,33,20,9,15,13,11,13,85
14,17,13,22,12,15,8,18,16,17,62
8,2,3,27,14,9,12,16,12,10,75
10,2,11,29,10,7,8,19,14,14,56
9,10,8,33,16,8,14,9,5,6,96
16,11,5,29,14,14,12,20,11,15,72
14,13,14,25,18,13,16,18,15,11,81
11,15,13,21,11,14,12,20,15,14,66
10,4,6,31,10,15,9,12,13,12,75
9,4,10,23,10,13,13,17,15,16,66
7,9,4,25,14,18,17,16,15,11,85
10,8,2,30,15,12,15,14,11,8,87
11,2,3,31,16,14,12,17,9,12,82
7,5,7,27,19,15,16,22,17,18,71
14,5,10,23,13,6,5,17,20,20,45
10,5,6,27,13,6,8,20,19,16,50
8,0,5,27,14,12,16,19,10,14,77
12,3,12,22,5,5,11,25,15,15,44
12,8,7,27,13,13,10,20,15,20,59
19,16,20,19,10,15,13,22,18,17,59
13,6,7,26,13,12,9,20,16,18,58
9,7,8,26,15,11,12,20,15,16,65
7,2,9,24,8,11,15,20,18,12,62
10,3,6,25,16,9,10,20,16,12,65
8,0,5,30,13,17,12,16,7,13,84
7,2,6,20,11,11,14,20,17,16,61
5,3,2,32,17,17,17,18,13,14,84
8,4,4,28,19,13,16,14,13,10,89
6,2,0,37,15,13,16,17,11,11,83
6,8,4,27,16,13,16,12,13,11,87
12,7,9,30,14,15,10,16,14,17,70
10,12,8,30,12,14,13,21,12,14,70
9,9,3,30,21,17,14,10,15,11,94
10,5,10,21,12,13,9,24,16,17,55
9,3,6,29,16,15,12,22,13,19,67
4,3,2,30,12,12,12,17,14,11,72
11,2,2,33,15,9,6,13,11,13,71
6,9,6,28,13,10,13,20,11,13,70
11,3,7,38,19,14,10,7,7,14,93
8,2,4,33,17,16,15,9,12,11,94
14,8,10,34,11,15,12,22,16,14,64
6,2,2,27,13,14,9,21,10,17,66
4,2,1,33,12,15,8,14,10,13,76
5,5,5,30,16,9,13,12,13,8,83
0,6,8,20,8,5,11,17,16,11,58
6,3,4,24,10,17,12,21,16,14,66
7,3,2,29,15,10,11,19,16,15,64
15,14,13,26,13,13,14,14,14,16,74
11,10,10,31,17,18,17,16,12,13,89
4,1,5,25,15,10,14,18,19,14,66
16,2,12,21,16,10,9,21,14,15,63
6,4,1,35,21,18,16,14,13,12,94
9,5,11,29,12,11,9,20,15,17,58
4,1,4,33,23,16,17,7,5,5,117
13,3,4,26,16,16,12,20,13,16,73
7,6,5,23,10,9,8,19,14,14,58
10,2,3,32,12,8,10,19,10,11,68
4,1,1,33,21,14,16,13,11,10,95
8,1,8,25,18,14,14,16,15,10,83
12,2,9,16,13,8,9,20,19,18,51
2,2,3,28,18,16,17,12,18,12,87
5,2,2,31,19,13,15,16,12,9,88
5,1,0,33,19,12,13,11,10,9,92
3,0,2,34,23,15,16,13,7,11,101
6,2,3,33,18,14,14,17,16,16,75
17,10,7,29,20,16,16,13,18,18,81
2,0,2,30,13,15,14,17,7,6,90
6,1,3,27,14,13,15,15,12,10,83
8,7,7,27,19,16,15,15,11,14,88
10,4,5,30,13,9,12,17,13,6,76
13,10,15,18,10,9,8,23,18,18,46
10,3,5,31,15,11,13,16,14,13,74
19,16,18,23,10,7,7,22,18,16,46
8,8,6,28,13,10,11,18,15,14,65
11,7,11,22,14,12,11,16,14,15,70
12,7,4,30,10,10,8,20,16,13,57
11,5,6,30,16,8,9,19,15,15,62
